ID,Age,Gender,Age_Group,Category,Ascent,Descent,Finish,PC,Year_Overall_Place,Year_Gender_Place,Year_Age_Place,Year_Category_Place,Year_Overall%,Year_Gender%,Year_Age%,Year_Category%,Year,AT_Place,AT_GenderPlace,AT_AgePlace,AT_CategoryPlace,AT_Overall%,AT_Gender% ,AT_Age%,AT_Category%,Personal Count,Personal Rank,Attempt#,Personal_Average,Distance_From_Average,Good/Poor,Good_PC_Avg,Poor_PC_Avg,Good_Ascent_Avg,Poor_Ascent_Avg,Good_Descent_Avg,Poor_Descent_Avg
9990,20,F,20-29,F20-29,63.8,40.8833333333333,104.683333333333,0.609457092819615,18,1,6,1,0.660377358490566,0.952380952380952,0.6,0.9,2002,422,93,141,32,0.62016201620162,0.816205533596838,0.490974729241877,0.759398496240602,2,2,1,103.141666666667,1.54166666666667,Poor,0.590551181102362,0.609457092819615,60,63.8,41.6,40.8833333333333
9990,21,F,20-29,F20-29,60,41.6,101.6,0.590551181102362,12,1,7,1,0.755102040816326,0.952380952380952,0.588235294117647,0.888888888888889,2003,359,65,121,20,0.676867686768677,0.871541501976285,0.563176895306859,0.849624060150376,2,1,2,103.141666666667,-1.54166666666667,Good,0.590551181102362,0.609457092819615,60,63.8,41.6,40.8833333333333
9934,51,F,50-59,F50-59,87.0833333333333,54,141.083333333333,0.61724748966332,55,25,9,6,0.140625,0.21875,0.1,0.142857142857143,2016,955,396,123,47,0.14041404140414,0.217391304347826,0.206451612903226,0.318840579710145,5,1,2,155.8169,-14.7335666666667,Good,0.611335609238439,0.611022131957967,88.1916666666667,99.9111111111111,56.1,63.5892777777778
9934,50,F,50-59,F50-59,89.3,58.2,147.5,0.605423728813559,58,21,11,4,0.159420289855072,0.32258064516129,0.153846153846154,0.333333333333333,2015,987,423,129,51,0.111611161116112,0.16403162055336,0.167741935483871,0.260869565217391,5,2,1,155.8169,-8.31689999999998,Good,0.611335609238439,0.611022131957967,88.1916666666667,99.9111111111111,56.1,63.5892777777778
9934,54,F,50-59,F50-59,96,61.6683333333334,157.668333333333,0.608873056310187,91,40,9,6,0.0319148936170213,0.0476190476190476,0.1,0,2019,1045,462,142,59,0.0594059405940594,0.0869565217391304,0.0838709677419355,0.144927536231884,5,3,4,155.8169,1.85143333333338,Poor,0.611335609238439,0.611022131957967,88.1916666666667,99.9111111111111,56.1,63.5892777777778
9934,55,F,50-59,F50-59,103.116666666667,64.4878333333333,167.6045,0.615238055461916,72,32,13,7,0.0769230769230769,0.111111111111111,0,0,2020,1069,481,147,64,0.0378037803780378,0.0494071146245059,0.0516129032258065,0.072463768115942,5,5,5,155.8169,11.7876,Poor,0.611335609238439,0.611022131957967,88.1916666666667,99.9111111111111,56.1,63.5892777777778
9934,53,F,50-59,F50-59,100.616666666667,64.6116666666667,165.228333333333,0.608955284101798,82,36,6,3,0.0120481927710843,0,0,0,2018,1065,479,146,63,0.0414041404140414,0.0533596837944664,0.0580645161290323,0.0869565217391304,5,4,3,155.8169,9.41143333333338,Poor,0.611335609238439,0.611022131957967,88.1916666666667,99.9111111111111,56.1,63.5892777777778
9895,35,F,30-39,F30-39,53.3666666666667,36.1183333333333,89.485,0.596375556424727,8,1,1,1,0.833333333333333,0.952380952380952,0.9,0.833333333333333,2008,152,11,59,7,0.863186318631863,0.978260869565217,0.824404761904762,0.958333333333333,5,1,5,95.547,-6.062,Good,0.596958893351933,0.594060610354165,54.1833333333333,61.0166666666667,36.5838888888889,41.7
9895,32,F,30-39,F30-39,54.1333333333333,36.2166666666667,90.35,0.599151448072311,11,1,2,1,0.788461538461538,0.941176470588235,0.818181818181818,0.8,2005,167,16,66,10,0.84968496849685,0.968379446640316,0.803571428571429,0.94047619047619,5,2,3,95.547,-5.197,Good,0.596958893351933,0.594060610354165,54.1833333333333,61.0166666666667,36.5838888888889,41.7
9895,34,F,30-39,F30-39,55.05,37.4166666666667,92.4666666666667,0.59534967555876,7,1,1,1,0.829268292682927,0.944444444444444,0.888888888888889,0.875,2007,197,24,78,15,0.822682268226823,0.950592885375494,0.767857142857143,0.910714285714286,5,3,4,95.547,-3.08033333333334,Good,0.596958893351933,0.594060610354165,54.1833333333333,61.0166666666667,36.5838888888889,41.7
